1	afraid	害怕的
2	agree	同意
3	airplane	飛機
4	almost	幾乎
5	always	總是
6	answer	答案、回答
7	arm	手臂
8	baby	嬰兒
9	bakery	麵包店
10	bank	銀行
11	beach	海灘
12	beautiful	美麗的
13	beef	牛肉
14	believe	相信
15	belt	腰帶、帶子
16	bite	咬、啃
17	blackboard	黑板
18	blind	瞎的、盲的
19	boat	船、小船
20	boss	老闆
21	bottle	瓶子
22	bowl	碗
23	bridge	橋樑
24	brown	咖啡色
25	businessman	商人
26	busy	忙、忙碌
27	butter	奶油
28	camera	相機
29	careful	小心的、仔細的
30	cell_phone	手機
31	chalk	粉筆
32	cheap	便宜的
33	cheat	欺騙、作弊
34	cheese	乳酪
35	chopsticks	筷子
36	church	教堂
37	circle	圓、圓圈
38	city	城市
39	climb	爬、攀爬
40	coffee	咖啡
41	collect	收集
42	convenient	便利的
43	copy	影印、拷貝
44	couch	長沙發、睡椅
45	count	數數、計算
46	country	鄉村、國家
47	crazy	瘋狂的
48	cry	哭泣
49	dangerous	危險的
50	dark	黑暗的
51	date	日期
52	daughter	女兒
53	decide	決定
54	delicious	美味的
55	department_store	百貨公司
56	dictionary	字典
57	different	不同的
58	Double_Tenth_Day	雙十節
59	dozen	一打
60	driver	司機
61	dry	乾燥的、乾的
62	elf	小精靈
63	e-mail	電子郵件
64	excellent	傑出的、優秀的
65	excited	刺激的、興奮的
66	expensive	昂貴的
67	factory	工廠
68	fan	電風扇
69	farmer	農夫
70	fast	快的
71	Father's_Day	父親節
72	favorite	最愛的
73	fax	傳真
74	finally	最後、終於
75	finger	手指
76	fisherman	漁夫
77	foreigner	外國人
78	fork	叉子
79	garbage	垃圾
80	garden	花園
81	gift	禮物
82	glass	玻璃杯
83	glove	手套
84	goat	山羊
85	grass	草
86	gray	灰色
87	ground	地面
88	habit	習慣
89	Halloween	萬聖節
90	healthy	健康的
91	history	歷史
92	holiday	假日
93	honest	誠實的、正直的
94	horse	馬
95	hospital	醫院
96	hot_dog	熱狗
97	hotel	旅館
98	hundred	百
99	hurt	受傷、危害
100	important	重要的
101	Internet	網際網路
102	island	島嶼
103	jacket	夾克
104	jeans	牛仔褲
105	jog	慢跑
106	jump	跳躍
107	kick	踢
108	knee	膝蓋
109	knife	刀子
110	lake	湖泊
111	laugh	笑
112	lazy	懶惰的
113	left	左邊
114	library	圖書館
115	listen	聽
116	lonely	孤獨的、單獨的
117	lucky	幸運的
118	machine	機器
119	medicine	藥
120	menu	菜單
121	minute	分鐘
122	mistake	錯誤
123	Moon_Festival	中秋節
124	Mother's_Day	母親節
125	motorcycle	摩托車
126	mountain	山、山脈
127	movie	電影
128	museum	博物館
129	neck	頸部
130	New_Year's_Day	新年（元旦）
131	noodle	麵條
132	north	北方、北方的
133	office	辦公室
134	page	頁，頁數
135	pants	褲子
136	parents	父母親
137	pet	寵物
138	picnic	郊遊、野餐
139	picture	圖畫
140	playground	操場、遊樂場
141	police_station	警察局
142	popcorn	爆玉米花
143	popular	受歡迎的
144	pork	豬肉
145	post_office	郵局
146	problem	問題、困難
147	pull	拉
148	push	推
149	quick	快的、快速的
150	quiet	安靜的、安靜
151	quiz	小考
152	radio	收音機
153	rainbow	彩虹
154	restaurant	餐廳
155	right	右邊
156	river	河流
157	road	路
158	run	跑
159	safe	安全的
160	salad	沙拉
161	salty	鹹的
162	same	相同的、一樣的
163	school_bag	書包
164	season	季節
165	shape	形狀
166	share	分享
167	sheep	綿羊
168	ship	船
169	shirt	襯衫
170	shoe(s)	鞋子
171	shop	商店
172	shopkeeper	店主
173	shoulder	肩膀
174	shy	害羞的
175	slow	慢的
176	smile	微笑
177	smoke	吸煙、煙
178	snake	蛇
179	snowy	下雪的
180	sock(s)	短襪
181	song	歌曲
182	sound	聲響、聽起來
183	south	南方、南方的、南部的
184	speak	說話
185	spoon	湯匙
186	spring	春天
187	story	故事
188	stranger	陌生人
189	street	街道
190	successful	成功的
191	sugar	糖
192	summer	夏天
193	supermarket	超級市場
194	surprise	驚訝、驚喜
195	sweater	毛衣
196	swim	游泳
197	Taiwan	台灣
198	taxi	計程車
199	Teacher's_Day	教師節
200	telephone	電話
201	television	電視
202	Thanksgiving	感恩節
203	thirsty	口渴的
204	thousand	千
205	tomorrow	明天
206	traffic	交通
207	train_station	火車站
208	truck	貨車
209	typhoon	颱風
210	umbrella	雨傘
211	uniform	制服
212	vacation	假期
213	vegetable	蔬菜
214	week	星期（週）
215	weekend	週末
216	white	白色
217	window	窗戶
218	winter	冬天
219	yesterday	昨天
220	young	年輕
1	afternoon	下午
2	all	全部
3	angry	生氣
4	animal	動物
5	ant	螞蟻
6	ask	問
7	bag	袋子
8	banana	香蕉
9	baseball	棒球
10	basketball	籃球
11	bathroom	浴室
12	bear	熊
13	bedroom	臥室
14	birthday	生日
15	black	黑色
16	blue	藍色
17	bookstore	書店
18	breakfast	早餐
19	brother	兄弟
20	brush	刷、刷子
21	bus	公車
22	buy	買
23	cake	蛋糕
24	candy	糖果
25	card	卡片
26	cat	貓
27	chair	椅子
28	chicken	雞肉
29	chocolate	巧克力
30	Christmas	聖誕節
31	classmate	同學
32	classroom	教室
33	clean	乾淨的
34	clothes	衣服
35	cloudy	多雲
36	coat	大衣
37	cold	冷的
38	color	顏色
39	come	來
40	computer	電腦
41	cook	煮、烹調、廚師
42	cookie	餅乾
43	cool	涼的
44	cup	杯子
45	cute	可愛的
46	dance	跳舞
47	desk	書桌、桌子
48	dinner	晚餐
49	dirty	骯髒
50	dish	盤子
51	doctor	醫生
52	dodgeball	躲避球
53	doll	洋娃娃
54	dollar	元
55	door	門
56	dream	夢想、作夢
57	dress	洋裝
58	drink	喝
59	ear(s)	耳朵
60	eat	吃
61	elephant	大象
62	eleven	十一
63	English	英文、英語
64	eraser	橡皮擦、擦子
65	evening	傍晚、晚上
66	eye(s)	眼睛
67	face	臉
68	family	家庭、家人
69	feel	感覺
70	fish	魚
71	five	五
72	flower	花
73	food	食物
74	four	四
75	Friday	星期五
76	friend	朋友
77	fruit	水果
78	giraffe	長頸鹿
79	go	去
80	goodbye	再見
81	grandma	祖母
82	grandpa	祖父
83	great	美好的、偉大的
84	green	綠色
85	guess	猜
86	hamburger	漢堡
87	hand(s)	手
88	head	頭
89	help	幫助
90	her	她的
91	his	他的
92	homework	家庭作業
93	hot	熱的
94	hungry	飢餓的
95	ice_cream	冰淇淋
96	juice	果汁
97	jump	跳、跳躍
98	kitchen	廚房
99	kite	風箏
100	late	遲到
101	leg	腿
102	like	喜歡、像
103	lion	獅子
104	living_room	客廳（起居室）
105	lunch	午餐
106	many	很多
107	marker	麥克筆、白板筆、彩色筆
108	math	數學
109	milk	牛奶
110	Monday	星期一
111	monkey	猴子
112	morning	早上
113	mouse	老鼠
114	mouth	嘴巴
115	music	音樂
116	name	名字
117	new	新的
118	night	夜晚
119	noodles	麵條(複數)
120	nose	鼻子
121	number	號碼
122	nurse	護士
123	old	老的、舊的
124	open	打開
125	orange	柳橙
126	park	公園
127	pencil_case	鉛筆盒
128	piano	鋼琴
129	pink	粉紅色
130	pizza	比薩
131	play	玩
132	please	請、拜託
133	police_officer	警察
134	purple	紫色
135	question	問題
136	rabbit	兔子
137	read	讀
138	red	紅色
139	restroom	廁所
140	rice	飯
141	robot	機器人
142	sad	悲傷的
143	sandwich	三明治
144	Saturday	星期六
145	school	學校
146	sea	海、海洋
147	see	看
148	short	矮的、短的
149	sick	生病的
150	sing	唱
151	skirt	裙子
152	sleep	睡覺
153	smell	聞、氣味
154	snack	點心
155	some	一些
156	sorry	難過的、抱歉的
157	Sunday	星期日
158	sure	確定的
159	ten	十
160	three	三
161	Thursday	星期四
162	tiger	老虎
163	tired	疲倦的
164	today	今天
165	train	火車
166	tree	樹
167	Tuesday	星期二
168	twelve	十二
169	two	二
170	walk	走路
171	want	想要、需要
172	wash	清洗
173	watch	看、手錶
174	water	水
175	weather	天氣
176	Wednesday	星期三
177	what	什麼
178	windy	多風的、有風的、風大的
179	write	寫
180	yellow	黃色
